"author","title","time","numberComments","numberofWords","CurrentAffairs","Education","Music","Philosophy","PoliticalScience","Science","History","Law","Games","Books","FoodandDrink","DataSource","WebTech"
"Tyler Cowen","The Chait-Manzi debate",2010-01-11,3,617,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Renaissance postponed (earthquake in Haiti)",2010-01-12,NA,138,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Very good sentences",2010-01-12,NA,59,0,0,0,0,0,1,0,0,0,0,1,0,0
"Tyler Cowen","Assorted links",2010-01-12,NA,22,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The Haitian Renaissance of 2010",2010-01-12,NA,120,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","TNR has a new web site on new books.",2010-01-12,NA,75,0,0,0,0,0,0,0,0,0,1,0,0,1
"Alex Tabarrok","Predictably Amusing",2010-01-12,2,54,0,0,0,0,0,0,0,0,0,0,0,1,1
"Tyler Cowen","A brilliant paper on the financial crisis",2010-01-12,1,297,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Why is Haiti so poor?",2010-01-13,11,385,0,0,0,0,1,0,1,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-13,1,78,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The AP critique of the stimulus",2010-01-13,1,295,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Luck and disasters",2010-01-13,NA,121,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","If only we had the will do this",2010-01-13,1,221,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Excellent post by Paul Krugman",2010-01-13,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","North Carolina teaching symposium, February 5",2010-01-14,NA,84,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Why is Haiti so poor?, part II",2010-01-14,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tyler Cowen","The health care excise tax compromise",2010-01-14,2,74,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-14,1,38,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alex Tabarrok","Zakaria on Incentive Design",2010-01-14,2,120,1,0,0,0,0,0,0,1,0,0,0,0,0
"Alex Tabarrok","Incentives and the Supply of Oil",2010-01-14,1,59,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Geopolitical speculations about Haiti",2010-01-14,3,318,1,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","How to boast without looking bad",2010-01-14,NA,176,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Construction in Haiti",2010-01-14,1,301,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Sentences to ponder, Haiti edition",2010-01-15,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Tabarrok","Haiti Tweet",2010-01-15,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Haitian demographics and mortality",2010-01-15,NA,93,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","I don\u2019t mean to be morbid, but\u2026",2010-01-15,NA,37,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-15,NA,52,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Getting drunk as signaling behavior",2010-01-15,1,190,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tyler Cowen","How to help Haiti",2010-01-15,1,286,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","Thai-Cambodia refugee camps, 1975-1999",2010-01-16,NA,137,1,0,0,0,0,0,1,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-16,1,126,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The political economy of earthquakes",2010-01-16,NA,179,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","My history with Haiti",2010-01-16,NA,392,0,1,0,0,0,0,0,0,0,0,0,0,0
"Alex Tabarrok","PPP Fail",2010-01-17,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Haitian riddles",2010-01-17,1,56,1,1,0,0,0,0,0,0,1,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-17,1,255,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Estimating when the Soviets could produce a nuclear weapon",2010-01-17,2,201,0,0,0,0,0,0,1,0,0,1,0,0,0
"Tyler Cowen","Markets in everything",2010-01-18,NA,77,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-18,NA,69,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Writing down the principal on mortgages",2010-01-18,4,323,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Paul Romer doesn\u2019t think a charter city in Haiti can work (now)",2010-01-18,NA,243,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","Why are the images of Haiti so graphic?",2010-01-18,2,155,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Tabarrok","Crayola\u2019s Law",2010-01-19,NA,36,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tyler Cowen","Assorted links",2010-01-19,NA,54,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The Haitian police",2010-01-19,NA,100,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","Other ways to help Haiti",2010-01-19,2,264,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Haiti: what\u2019s at stake",2010-01-19,1,469,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","U.S. economists on the Euro, Econ Journal Watch",2010-01-20,NA,72,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Health care: where to go from here?",2010-01-20,3,133,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Competing currencies, sort of",2010-01-20,NA,101,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-20,NA,31,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The diamond oceans of Uranus and Neptune",2010-01-20,NA,125,0,0,0,0,0,1,0,0,0,0,0,0,0
"Tyler Cowen","Haiti and the problems with foreign aid",2010-01-20,2,393,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Haitian public opinion",2010-01-20,NA,220,1,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Markets in everything: the uncollectible artwork",2010-01-20,NA,150,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","\u201cWhy is there so little money in U.S. politics?\u201d",2010-01-21,2,262,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","A simple theory of political jobs, with respect to the health care debate",2010-01-21,1,158,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","Excellent blog on how to help poor countries",2010-01-21,NA,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-21,NA,70,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The Volcker banking plan?",2010-01-21,1,250,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","How is Chinese web use different?",2010-01-21,NA,149,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Is this a big uh-oh for neuroeconomics?",2010-01-21,NA,224,0,0,0,0,0,1,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-22,1,51,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","What is not right in this picture?",2010-01-22,NA,44,0,1,0,0,0,1,0,0,0,0,0,0,1
"Alex Tabarrok","Speech Balloons",2010-01-22,3,115,0,0,0,0,0,0,0,1,0,0,0,1,0
"Tyler Cowen","The \u201chealth care betrayal\u201d and Waxman-Markey",2010-01-22,2,290,0,0,0,0,1,0,0,1,0,0,0,0,0
"Tyler Cowen","Education in Haiti",2010-01-22,1,257,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Words of wisdom",2010-01-23,1,237,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-23,NA,49,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alex Tabarrok","Free Hearing",2010-01-23,1,285,1,0,0,0,0,0,0,1,0,1,0,0,0
"Tyler Cowen","Haiti fact (?) of the day",2010-01-23,NA,85,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tyler Cowen","Markets in everything",2010-01-23,NA,260,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","How signals work on the dance floor",2010-01-23,NA,302,0,0,1,0,0,1,0,0,0,0,0,0,0
"Tyler Cowen","A betting market for the health care plan",2010-01-24,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Some problems they are having in Haiti",2010-01-24,1,322,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-24,NA,42,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Why Bernanke should be reconfirmed",2010-01-24,1,302,0,0,0,0,1,0,0,0,0,0,0,0,0
"Alex Tabarrok","The Boom and Bust Rap",2010-01-25,2,116,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Real estate and transportation in Port-au-Prince",2010-01-25,NA,110,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Why do the Chinese save so much?",2010-01-25,1,407,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-25,NA,53,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alex Tabarrok","Rename Capitalism Socialism?",2010-01-25,4,252,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tyler Cowen","Why do high-end prostitutes make so much money?",2010-01-25,1,387,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Act now",2010-01-25,NA,46,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","The wisdom of Garett Jones, a continuing series",2010-01-26,1,32,0,0,0,0,1,0,0,0,0,0,0,0,0
"Alex Tabarrok","Not From The Onion",2010-01-26,2,93,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","The rise of the capitalist kibbutz",2010-01-26,NA,284,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","I was surprised this number was such a big one",2010-01-26,2,72,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tyler Cowen","Assorted links",2010-01-26,1,70,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The \u201cspending freeze\u201d",2010-01-26,1,125,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","Haiti fact of the day",2010-01-26,NA,59,1,0,0,0,0,0,0,1,0,0,0,1,0
"Tyler Cowen","More criticisms of comparativeness effectiveness research",2010-01-26,NA,295,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Pitchers from the South are more likely to hit batters",2010-01-27,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Jeff Ely on torture and commitment",2010-01-27,1,91,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-27,1,53,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Why should the FDA ban drugs?",2010-01-27,3,311,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","An introduction to Haitian music",2010-01-27,NA,431,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Favorite tweets",2010-01-28,NA,166,0,1,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","One paragraph plus a sentence",2010-01-28,1,113,1,0,0,0,0,0,0,0,0,1,0,0,0
"Tyler Cowen","If he could get one idea peer-reviewed",2010-01-28,1,112,0,1,0,0,0,1,0,0,0,0,0,0,0
"Tyler Cowen","Who are the biggest donors to Haiti?",2010-01-28,1,127,1,0,0,0,0,0,0,0,0,0,0,1,0
"Tyler Cowen","Assorted links",2010-01-28,NA,60,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","My predictions about the iPad",2010-01-28,3,346,0,1,0,0,0,0,0,0,0,1,0,0,1
"Tyler Cowen","The incomes and professions of Haitian-Americans",2010-01-28,1,113,1,0,0,0,0,0,0,0,0,0,0,1,0
"Tyler Cowen","Banerjee and Duflo defend RCT",2010-01-29,NA,148,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Watch Obama debate the Republicans",2010-01-29,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-29,NA,72,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alex Tabarrok","Do Animals have Animal Spirits?",2010-01-29,3,261,0,0,0,0,0,1,0,0,0,0,0,0,0
"Tyler Cowen","Who are the friendliest people on earth?",2010-01-29,2,173,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tyler Cowen","Sentences to ponder",2010-01-30,1,146,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-30,NA,49,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","How Haiti could turn things around",2010-01-30,1,359,0,0,0,0,1,0,0,0,0,0,0,0,0
"Alex Tabarrok","Snow Job",2010-01-30,NA,135,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","*The Cleanest Race*",2010-01-31,1,369,1,1,0,0,1,0,0,0,0,1,0,0,0
"Alex Tabarrok","Daniel Gross, Me, and the Efficient Market Hypothesis",2010-01-31,2,308,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-01-31,NA,46,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","*The Enlightened Economy*",2010-01-31,NA,244,0,0,0,0,0,0,1,0,0,1,0,0,0
"Tyler Cowen","The subsistence wage",2010-01-31,NA,70,1,0,0,0,0,0,0,1,0,0,0,0,0
"Tyler Cowen","How to fall six miles and survive",2010-02-01,1,405,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Another idea for Haiti",2010-02-01,NA,92,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Tabarrok","Perspectives",2010-02-01,1,34,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-02-01,NA,92,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alex Tabarrok","No Shoes Please and No Debt Relief Either",2010-02-01,NA,159,1,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Why not fix doctoral programs in length?",2010-02-01,2,190,0,1,0,0,0,0,0,0,0,1,0,0,0
"Tyler Cowen","In what way is blogging science?",2010-02-02,NA,125,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","The world\u2019s 25 dirtiest cities",2010-02-02,1,118,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tyler Cowen","Obligatory budget post",2010-02-02,2,210,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-02-02,NA,70,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Will the price of Haitian art go up or down?",2010-02-02,NA,268,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Tabarrok","Naughty Bits in the Bible",2010-02-02,1,193,0,0,1,0,0,0,1,0,0,0,0,0,0
"Tyler Cowen","Henry Aaron writes to me",2010-02-03,1,145,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tyler Cowen","Profile of Sam Bowles",2010-02-03,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Words of wisdom",2010-02-03,NA,139,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","How much does tax-subsidized health insurance matter for health care costs?",2010-02-03,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-02-03,NA,53,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The fact I would like to know about the stimulus",2010-02-03,1,169,0,0,0,0,0,0,0,0,0,0,0,1,0
"Alex Tabarrok","Census Miscounts",2010-02-03,1,377,0,1,0,0,0,0,0,0,0,0,0,1,0
"Tyler Cowen","What is interdisciplinarity?",2010-02-03,NA,234,0,1,0,0,0,1,0,0,0,0,0,0,0
"Tyler Cowen","Voodoo bathing ritual",2010-02-03,NA,34,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Zero price markets in everything",2010-02-05,NA,82,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Assorted links",2010-02-05,NA,38,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Temple Grandin\u2019s theories on autism",2010-02-05,1,761,0,1,0,0,0,1,0,0,0,0,0,0,0
"Tyler Cowen","Bryan Caplan responds to criticisms of libertarianism",2010-02-05,1,278,0,1,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","What I\u2019ve been reading",2010-02-05,NA,351,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tyler Cowen","Yet another Haitian worry",2010-02-06,NA,123,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-02-06,NA,41,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alex Tabarrok","Supply and Demand",2010-02-06,2,172,1,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Economists\u2019 petitions",2010-02-06,NA,129,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","Relations",2010-02-06,NA,21,0,0,0,0,0,1,1,0,1,0,0,0,0
"Tyler Cowen","Assorted links",2010-02-07,NA,55,0,0,0,0,0,0,0,0,0,0,0,0,1
"Alex Tabarrok","Revisiting the Marriage Supermarket",2010-02-07,2,390,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tyler Cowen","\u201cWhen Politics is Stuck in the Middle\u201d",2010-02-07,1,481,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","The economics of supermarkets in snow storms",2010-02-07,2,532,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tyler Cowen","From my Inbox",2010-02-08,NA,76,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alex Tabarrok","Bullet Train/Wine Train",2010-02-08,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-02-08,NA,54,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Why it\u2019s hard for Greece to back out of the Euro",2010-02-08,1,334,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","*The Cartoon Introduction to Economics*",2010-02-08,NA,85,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tyler Cowen","Beware of Greeks bearing gifts",2010-02-08,NA,82,1,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","What if famous filmmakers directed the Super Bowl?",2010-02-08,NA,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","*Cosmos*",2010-02-08,NA,252,0,0,0,0,0,1,0,0,0,1,0,0,0
"Tyler Cowen","In my pile",2010-02-09,NA,77,0,0,0,0,0,0,0,0,0,1,0,0,0
"Alex Tabarrok","Surrogates",2010-02-09,1,288,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","\u201cEconomists have no clothes\u201d",2010-02-09,2,120,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Derivatives are often disguised debt transactions",2010-02-09,NA,349,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","The last words of Socrates (according to Plato)",2010-02-09,NA,36,1,1,0,1,0,0,0,0,0,0,0,0,0
"Alex Tabarrok","Sentence of the Day",2010-02-09,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-02-09,NA,57,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The culture that is Japan, snow removal edition",2010-02-10,1,362,1,0,0,0,0,1,0,0,0,0,0,0,0
"Tyler Cowen","Further assorted links, from a snowbound home in northern Virginia",2010-02-10,1,65,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","The new cabinet in Chile",2010-02-10,1,171,1,0,0,0,1,0,0,0,0,0,0,0,0
"Alex Tabarrok","John Locke in Washington",2010-02-10,1,154,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","One reason why Germany can\u2019t play tough guy with Greece",2010-02-10,NA,62,1,0,0,0,1,0,0,0,0,0,0,0,0
"Tyler Cowen","Assorted links",2010-02-10,NA,60,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Department of !",2010-02-10,NA,124,0,0,0,0,0,1,0,0,0,0,0,0,0
"Tyler Cowen","More assorted links, hoping to make it to Missouri tonight",2010-02-11,1,54,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Assorted links",2010-02-11,NA,39,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tyler Cowen","Sentences to ponder",2010-02-11,2,111,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Why do the poor pay more?",2010-02-11,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Thomas Friedman proposes a new rate of marginal transformation",2010-02-11,1,286,1,1,0,0,0,0,0,0,0,0,0,0,0
"Tyler Cowen","Early globalization",2010-02-11,NA,105,0,0,0,0,0,1,1,0,0,0,0,0,0
